N°;NOMBRE;NUMERO;FECHA;AÑO;TEMA;ESTADO;ESCANEADA
68;REGISTRO Y AUTORIZACION PARA EXPEDIO DE BEBIDAS ALCHOLICAS;GAC.1670;30/11/2023;2023;BEBIDAS ALCOHOLICAS;VIGENTE;X
69;TASAS POR USO DE ESPACIOS PUBLICOS Y SERVICIOS PRESTADOS ;GAC.1671;30/11/2023;2023;ESPACIOS PUBLICOS;;
70;IMPUESTOS SOBRE VEHICULOS  ;GAC.1672;30/11/2023;2023;IMPUESTOS;VIGENTE;X
71;IMPUESTOS SOBRE ACTIVIDADES ECONOMICAS INDUSTRIA,COMERCIO Y SERVICIOS DE INDOLE SIMILAR;GAC.1673;30/11/2023;2023;IMPUESTOS;;
72;SERVICIO DE ASEO URBANO RURAL Y DOMICILIARIO;GAC. 1679;12/12/2023;2023;ASEO URBANO;VIGENTE;X
73;IMPUIESTOS SOBRE ACTIVIDADES ECONOMICA E INDUSTRIA COMERCIO O INDOLE SIMILAR;GAC.1745;29/4/2024;2024;IMPUESTOS;VIGENTE;EN PAGINA
74;IMPUESTOS SOBRRE JUEGOS Y APUESTAS ILICITAS;GAC.1746;29/4/2024;2024;IMPUESTOS;VIGENTE;EN PAGINA
75;IMPUESTO SOBRE INMUEBLES URBANOS ;GAC.1747;29/4/2024;2024;IMPUESTOS;;EN PAGINA
76;TASAS POR USO DE ESPACIOS PUBLICOS;GAC.1748;29/4/2024;2024;TASAS;VIGENTE;EN PAGINA
77;EMPRENDIMIENTO Y SU REGIMEN SIMPLIFICADO;GAC.1749;29/4/2024;2024;EMPRENDIMIENTO;VIGENTE;EN PAGINA
78;IMPUESTO SOBRE ESPECTACULOS PUBLICOS;GAC.1781;18/7/2024;2024;ESPACIOS PUBLICOS;VIGENTE;EN PAGINA
79;IMPUESTO SOBRE PROPPAGANDA Y PUBLICIDAD COMERCIAL;GAC.1782;18/7/2024;2024;IMPUESTOS;VIGENTE;EN PAGINA
80;CONVIVENCIA Y PAZ CIUDADANADA ;GAC.1795;28/8/2024;2024;CONVIVENCIA Y PAZ;VIGENTE;EN PAGINA
81;IMPUESTO SOBRE INMUEBLES URBANOS ;GAC.1863;21/2/2025;2025;IMPUESTOS;VIGENTE;X
82;CREACION Y CONDECORACION ORDEN MEDICO EJEMPLAR ;GAC.1883;23/4/2025;2025;ORDEN MUNICIPAL;VIGENTE;X
83;PROYECTO DE PLAN ESPECIAL DE DESARROLLO URBANO AV ALDONZA MANRIQUE;GAC.1899;4/6/2025;2025;PROYECTO ESPECIAL;VIGENTE;X
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
